dataset,feature_set,model,k_pct,auc_mean,auc_std,ap_mean,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v0_baseline,BIBLIO+DEBATE25,RF,15,0.7515667609045011,0.01759218316244581,0.32570369851275915,0.326056338028169,0.02074441938093471,0.39237288135593223,0.024963623322819747,4.979073307684257,0.7466960520836217
v0_baseline,BIBLIO+DEBATE25,RF,20,0.7515667609045011,0.01759218316244581,0.32570369851275915,0.297887323943662,0.01551316156868573,0.4779661016949152,0.024891174494388407,4.812257581899923,0.6218059538485257
v0_baseline,BIBLIO+DEBATE25,RF,25,0.7515667609045011,0.01759218316244581,0.32570369851275915,0.2752112676056338,0.012501057076384407,0.5519774011299435,0.025072741593878328,4.73513657721019,0.5901840697417678
v0_baseline,BIBLIO+DEBATE25,RF,30,0.7515667609045011,0.01759218316244581,0.32570369851275915,0.2591549295774648,0.012123608500022464,0.6237288135593221,0.02917885435598627,4.901437703549826,0.7389701732660928
v0_baseline,BIBLIO+DEBATE5,GBT,1,0.7491122522842433,0.015215725262020245,0.3236222325269273,0.5766666666666667,0.1338149197531352,0.04887005649717514,0.011340247436706372,11.763671270706379,7.3717875767700125
v0_baseline,BIBLIO+DEBATE5,GBT,5,0.7491122522842433,0.015215725262020245,0.3236222325269273,0.4246478873239437,0.0374806144361838,0.17033898305084744,0.015034596751237573,6.117172176625987,1.0689127834947212
v0_baseline,BIBLIO+DEBATE5,GBT,10,0.7491122522842433,0.015215725262020245,0.3236222325269273,0.3704225352112676,0.02061398973355597,0.29717514124293787,0.016537777074378236,5.478216190041309,0.6246830249704262
v0_baseline,BIBLIO+DEBATE5,GBT,15,0.7491122522842433,0.015215725262020245,0.3236222325269273,0.3328638497652582,0.014280816259611527,0.4005649717514125,0.017185389058176563,5.184580025602708,0.48650398621210866
v0_baseline,BIBLIO+DEBATE5,GBT,20,0.7491122522842433,0.015215725262020245,0.3236222325269273,0.3005281690140845,0.0177450006444243,0.4822033898305085,0.028472204423822055,4.927675874991994,0.7218370234180709
v0_baseline,BIBLIO+DEBATE5,GBT,25,0.7491122522842433,0.015215725262020245,0.3236222325269273,0.27549295774647886,0.01183169188475787,0.5525423728813559,0.02373022948637876,4.744557423694138,0.5645991397369262
v0_baseline,BIBLIO+DEBATE5,GBT,30,0.7491122522842433,0.015215725262020245,0.3236222325269273,0.2575117370892019,0.010249149390561712,0.619774011299435,0.024667444295928195,4.788431420027696,0.6097549493909573
v0_baseline,BIBLIO+DEBATE5,LogReg,1,0.7357618924049769,0.017443149784050618,0.2879006962594132,0.4833333333333333,0.09642741111341259,0.04096045197740113,0.00817181450113666,7.244575858193646,2.576379906708852
v0_baseline,BIBLIO+DEBATE5,LogReg,5,0.7357618924049769,0.017443149784050618,0.2879006962594132,0.38098591549295774,0.04715238591933347,0.15282485875706214,0.018914233899845635,5.026147663785494,1.0725787146980763
v0_baseline,BIBLIO+DEBATE5,LogReg,10,0.7357618924049769,0.017443149784050618,0.2879006962594132,0.32640845070422536,0.031015805382861524,0.26186440677966105,0.024882736521843713,4.306652931745093,0.7110582708976987
v0_baseline,BIBLIO+DEBATE5,LogReg,15,0.7357618924049769,0.017443149784050618,0.2879006962594132,0.30258215962441315,0.02096691583140589,0.36412429378531075,0.025231373288640998,4.248650662061679,0.5992671585660502
v0_baseline,BIBLIO+DEBATE5,LogReg,20,0.7357618924049769,0.017443149784050618,0.2879006962594132,0.2857394366197183,0.020090570304236232,0.45847457627118643,0.03223571732431124,4.381952594047006,0.7151766003457231
v0_baseline,BIBLIO+DEBATE5,LogReg,25,0.7357618924049769,0.017443149784050618,0.2879006962594132,0.26267605633802815,0.01689831946073954,0.5268361581920904,0.033892109652895644,4.212715488646374,0.6774088400228095
