dataset,feature_set,model,T_pct,P_mean,P_std,R_mean,R_std,F1_mean,F1_std,DOR_mean,DOR_std
v0_baseline,BIBLIO+FOCAL6,RF,15,0.3323943661971831,0.02012707725609514,0.4,0.02422072008784328,0.3630769230769231,0.021984961310503905,5.190160560616301,0.7156303270930348
v0_baseline,BIBLIO+FOCAL6,RF,20,0.3022887323943662,0.017560171101105925,0.4850282485875706,0.02817564176674624,0.37245119305856833,0.021635959187479754,4.996546995363726,0.7065920278068131
v0_baseline,BIBLIO+FOCAL6,SVM,5,0.3,0.047948332480114375,0.12033898305084748,0.019233511898802944,0.1717741935483871,0.02745428714587193,3.3779571518501355,0.7944560150897758
v0_baseline,BIBLIO+FOCAL6,SVM,10,0.2602112676056338,0.023686646564844125,0.20875706214689266,0.019002846396654602,0.23166144200626962,0.02108779819566061,2.8899116618601206,0.4219460413004912
v0_baseline,BIBLIO+FOCAL6,SVM,15,0.24061032863849766,0.019319811015451667,0.2895480225988701,0.023249264103340127,0.26282051282051283,0.021103178186108747,2.7480621817275064,0.3951420946238557
v0_baseline,BIBLIO+FOCAL6,SVM,20,0.22359154929577466,0.011899664756618723,0.3587570621468926,0.019093247406100085,0.2754880694143167,0.014661625990801374,2.60439350487102,0.2703526942045844
v0_baseline,BIBLIO+FOCAL6,XGB,5,0.37253521126760564,0.03890218193951387,0.14943502824858756,0.015604830043533812,0.21330645161290324,0.022274636433108747,4.805465711699099,0.9256469178052749
v0_baseline,BIBLIO+FOCAL6,XGB,10,0.3278169014084507,0.03407928391815344,0.2629943502824859,0.02734044246541123,0.2918495297805642,0.030340177532149133,4.354078204883639,0.8228778468896618
v0_baseline,BIBLIO+FOCAL6,XGB,15,0.2962441314553991,0.02269014363148976,0.35649717514124296,0.02730508809891143,0.3235897435897436,0.02478461842824267,4.0748503136854755,0.618588997927334
v0_baseline,BIBLIO+FOCAL6,XGB,20,0.2714788732394366,0.01717030353987147,0.43559322033898307,0.027550091555499964,0.3344902386117137,0.021155601758453334,3.8894879018313224,0.5415586729305407
v0_baseline,FOCAL6,FFN,5,0.21338028169014084,0.035770211547043074,0.08559322033898306,0.014348502936949484,0.1221774193548387,0.020481330805161756,2.0534232372398717,0.447420635232802
v0_baseline,FOCAL6,FFN,10,0.1834507042253521,0.02301597530823814,0.14717514124293785,0.01846479375011196,0.1633228840125392,0.02049071155968537,1.7076101057848025,0.28581570493652075
v0_baseline,FOCAL6,FFN,15,0.17018779342723006,0.018397085572541605,0.20480225988700568,0.02213886568899075,0.1858974358974359,0.020095278086930055,1.5744967718851155,0.2530550885299097
v0_baseline,FOCAL6,FFN,20,0.16566901408450704,0.01294878948813644,0.26581920903954803,0.02077658878322457,0.20412147505422995,0.015954256896445754,1.549994847159989,0.1978052582714974
v0_baseline,FOCAL6,GBT,5,0.1795774647887324,0.04380044518641176,0.07203389830508475,0.01756967010302393,0.1028225806451613,0.02507928716318738,1.6534072759813891,0.5034850654290428
v0_baseline,FOCAL6,GBT,10,0.1482394366197183,0.0253886360750293,0.11892655367231639,0.02036828430878057,0.13197492163009403,0.02260304904485369,1.2850936027509285,0.2888044689757603
v0_baseline,FOCAL6,GBT,15,0.14530516431924884,0.017531761664639794,0.17485875706214687,0.02109754369812585,0.1587179487179487,0.01915007812599116,1.2545373223747651,0.21123795574219742
v0_baseline,FOCAL6,GBT,20,0.14559859154929577,0.014462812305650363,0.23361581920903954,0.023205868332229953,0.17939262472885034,0.01781969064991194,1.2710627844064315,0.1902717771987202
v0_baseline,FOCAL6,LogReg,5,0.2112676056338028,0.029964985813799458,0.0847457627118644,0.012019853066552323,0.12096774193548387,0.017157370909514205,2.0190730136979895,0.37666051327545663
v0_baseline,FOCAL6,LogReg,10,0.1834507042253521,0.026198199363343617,0.14717514124293785,0.02101776446098754,0.1633228840125392,0.023323788774888988,1.7119676898455591,0.3369072719839365
v0_baseline,FOCAL6,LogReg,15,0.17183098591549295,0.019530326356680897,0.20677966101694914,0.023502596124141416,0.18769230769230769,0.02133312571268221,1.5987133869668078,0.27493685418176955
v0_baseline,FOCAL6,LogReg,20,0.16901408450704225,0.014895130687479708,0.2711864406779661,0.023899531724543715,0.20824295010845986,0.0183523519099533,1.6030641819569122,0.23316440000452504
