dataset,field,feature_set,model,n_test_mean,n_pos_mean,auc_mean,auc_std,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v2a_y_anchored,01,BIBLIO+DEBATE25,LogReg,563.2,88.85,0.7113957094887239,0.017308252812305996,0.34439370748521514,0.041997086302408004,0.22033612310119505,0.028721808984786733,3.413793166542015,0.8460378793761212
v2a_y_anchored,01,BIBLIO+DEBATE25,RF,563.2,88.85,0.7473941609622512,0.018386154117451415,0.3627456434581643,0.04999744422073997,0.23150020192734605,0.029000232484394112,3.7676154522480254,1.0699987414215948
v2a_y_anchored,01,BIBLIO+DEBATE5,GBT,563.2,88.85,0.744616012731047,0.02507851064027105,0.3767590228186789,0.06366260295249249,0.24026753420635272,0.03760771208240342,4.098943147439026,1.2728277458083324
v2a_y_anchored,01,BIBLIO+DEBATE5,LogReg,563.2,88.85,0.720835442773119,0.018515508972792392,0.3515483585321112,0.05137368278170622,0.22431114153437273,0.030502291793895242,3.548556285600624,0.9235640538868092
v2a_y_anchored,01,BIBLIO+DEBATE5,RF,563.2,88.85,0.7494402258920452,0.02000081943492139,0.35764463646429684,0.05935907173035916,0.22800956649073503,0.033614591052046644,3.6794586740824458,0.9736278391837107
v2a_y_anchored,03,BIBLIO,GBT,26.55,6.3,0.7720438236579978,0.10792764207671701,0.5125,0.26802695814488076,0.26043650793650797,0.14096591710049547,7.738374319637478,12.69877461547219
v2a_y_anchored,03,BIBLIO,LogReg,26.55,6.3,0.7773862724308527,0.09897818852573229,0.5333333333333333,0.22196622681830047,0.2825992063492063,0.1453840082083601,6.573581181345887,5.668822054616839
v2a_y_anchored,03,BIBLIO,RF,26.55,6.3,0.7723326522466407,0.10084063537205509,0.4541666666666666,0.244044562606938,0.2390079365079365,0.16761184729066736,6.829087754350913,12.830593348421047
v2a_y_anchored,03,BIBLIO+DEBATE25,GBT,26.55,6.3,0.7895441662203213,0.10220212051806592,0.525,0.2731931604633919,0.2810714285714285,0.18848413121417795,10.041639124549341,15.014944215367544
v2a_y_anchored,03,BIBLIO+DEBATE25,LogReg,26.55,6.3,0.7502679175402187,0.10053693226674719,0.47916666666666663,0.2795084971874737,0.24378968253968253,0.14966874057672416,6.615057932321091,8.340844152888913
v2a_y_anchored,03,BIBLIO+DEBATE25,RF,26.55,6.3,0.7308794743738921,0.10642120588930702,0.39166666666666666,0.29875472542691656,0.20236111111111113,0.16025967732707075,5.416296148296149,7.712365914856383
v2a_y_anchored,03,BIBLIO+DEBATE5,GBT,26.55,6.3,0.7890913971789801,0.10349611663977083,0.5333333333333333,0.32489314482696546,0.26924603174603173,0.17760256518989828,11.429949411212569,15.794967758480075
v2a_y_anchored,03,BIBLIO+DEBATE5,LogReg,26.55,6.3,0.7615541382492157,0.10203378152182999,0.4916666666666666,0.26476846334351556,0.2637103174603174,0.17448016642763386,7.682286181196398,9.230736801398283
v2a_y_anchored,03,BIBLIO+DEBATE5,RF,26.55,6.3,0.7577257634680483,0.11294870268754068,0.4208333333333333,0.261399461289753,0.21734126984126984,0.1502655914741088,5.184956820956821,7.215307186064971
v2a_y_anchored,07,BIBLIO,GBT,60.55,7.95,0.7261452116370968,0.0847681505419967,0.30476190476190473,0.1670421834776647,0.2498074148074148,0.14271622850368137,4.912692149519533,3.888072668729373
v2a_y_anchored,07,BIBLIO,LogReg,60.55,7.95,0.7533263763647514,0.07215454728211777,0.29928571428571427,0.11657353963066283,0.25751068376068376,0.10281104513053663,4.4018002654553925,2.843129779632485
v2a_y_anchored,07,BIBLIO,RF,60.55,7.95,0.7320492029017399,0.07010238845064033,0.2861904761904762,0.13611403992747306,0.24904983904983907,0.12021039155551683,4.277647019523657,2.698472337244798
