dataset,feature_set,model,seed,T_pct,auroc,auprc,precision,recall,f1,DOR,TP,FP,TN,FN,k
v0_baseline,BIBLIO+FOCAL6,RF,0,5,0.7590334020768744,0.3145971427892585,0.323943661971831,0.12994350282485875,0.18548387096774194,3.7430020351649818,23,48,1193,154,71
v0_baseline,BIBLIO+FOCAL6,RF,0,10,0.7590334020768744,0.3145971427892585,0.3380281690140845,0.2711864406779661,0.30094043887147337,4.547710976282405,48,94,1147,129,142
v0_baseline,BIBLIO+FOCAL6,RF,0,15,0.7590334020768744,0.3145971427892585,0.3333333333333333,0.4011299435028249,0.36410256410256414,5.180084012849024,71,142,1099,106,213
v0_baseline,BIBLIO+FOCAL6,RF,0,20,0.7590334020768744,0.3145971427892585,0.30985915492957744,0.4971751412429379,0.38177874186550975,5.261162522922087,88,196,1045,89,284
v0_baseline,BIBLIO+FOCAL6,GBT,0,5,0.7488630000409731,0.31729302521581665,0.4084507042253521,0.1638418079096045,0.23387096774193544,5.606694394929689,29,42,1199,148,71
v0_baseline,BIBLIO+FOCAL6,GBT,0,10,0.7488630000409731,0.31729302521581665,0.3732394366197183,0.2994350282485876,0.33228840125391856,5.533530771129209,53,89,1152,124,142
v0_baseline,BIBLIO+FOCAL6,GBT,0,15,0.7488630000409731,0.31729302521581665,0.323943661971831,0.3898305084745763,0.3538461538461538,4.865099740085788,69,144,1097,108,213
v0_baseline,BIBLIO+FOCAL6,GBT,0,20,0.7488630000409731,0.31729302521581665,0.3028169014084507,0.4858757062146893,0.3731019522776573,4.969663184264498,86,198,1043,91,284
v0_baseline,BIBLIO+FOCAL6,XGB,0,5,0.7215613433671588,0.26008575017963487,0.323943661971831,0.12994350282485875,0.18548387096774194,3.7430020351649818,23,48,1193,154,71
v0_baseline,BIBLIO+FOCAL6,XGB,0,10,0.7215613433671588,0.26008575017963487,0.2535211267605634,0.2033898305084746,0.22570532915360503,2.7502612850246355,36,106,1135,141,142
v0_baseline,BIBLIO+FOCAL6,XGB,0,15,0.7215613433671588,0.26008575017963487,0.2676056338028169,0.3220338983050847,0.2923076923076923,3.309758328582981,57,156,1085,120,213
v0_baseline,BIBLIO+FOCAL6,XGB,0,20,0.7215613433671588,0.26008575017963487,0.2676056338028169,0.4293785310734463,0.32971800433839477,3.735939327355849,76,208,1033,101,284
v0_baseline,BIBLIO+FOCAL6,SVM,0,5,0.638691232239355,0.2195891793054941,0.30985915492957744,0.12429378531073447,0.1774193548387097,3.4858228588132123,22,49,1192,155,71
v0_baseline,BIBLIO+FOCAL6,SVM,0,10,0.638691232239355,0.2195891793054941,0.2746478873239437,0.22033898305084745,0.2445141065830721,3.137184115523466,39,103,1138,138,142
v0_baseline,BIBLIO+FOCAL6,SVM,0,15,0.638691232239355,0.2195891793054941,0.2676056338028169,0.3220338983050847,0.2923076923076923,3.309758328582981,57,156,1085,120,213
v0_baseline,BIBLIO+FOCAL6,SVM,0,20,0.638691232239355,0.2195891793054941,0.22535211267605634,0.3615819209039548,0.2776572668112798,2.63265306122449,64,220,1021,113,284
v0_baseline,BIBLIO+FOCAL6,FFN,0,5,0.6929439990530691,0.2535463755981493,0.3380281690140845,0.13559322033898305,0.19354838709677422,4.0137493571061205,24,47,1194,153,71
v0_baseline,BIBLIO+FOCAL6,FFN,0,10,0.6929439990530691,0.2535463755981493,0.33098591549295775,0.2655367231638418,0.2946708463949843,4.369721770877214,47,95,1146,130,142
v0_baseline,BIBLIO+FOCAL6,FFN,0,15,0.6929439990530691,0.2535463755981493,0.2863849765258216,0.3446327683615819,0.3128205128205129,3.7714346021248155,61,152,1089,116,213
v0_baseline,BIBLIO+FOCAL6,FFN,0,20,0.6929439990530691,0.2535463755981493,0.2676056338028169,0.4293785310734463,0.32971800433839477,3.735939327355849,76,208,1033,101,284
v0_baseline,BIBLIO,LogReg,1,5,0.7493910961180387,0.28046506638908353,0.3380281690140845,0.13559322033898305,0.19354838709677422,4.0137493571061205,24,47,1194,153,71
