subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,DOR_mean,DOR_std,n_obs
43,cross_domain_attack+semantic_coherence+prediction_volatility,3,15,0.30469,0.0403,0.36667,0.0485,4.4115,1.18791,30
43,cross_domain_attack+semantic_coherence+prediction_volatility,3,20,0.27735,0.02694,0.44501,0.04322,4.13186,0.87547,30
44,conf_gap_change+var_conf_pro+H_final,3,5,0.3723,0.06274,0.14934,0.02517,4.89906,1.42288,30
44,conf_gap_change+var_conf_pro+H_final,3,10,0.323,0.04743,0.25913,0.03805,4.29828,1.16467,30
44,conf_gap_change+var_conf_pro+H_final,3,15,0.2964,0.04231,0.35669,0.05092,4.17843,1.1454,30
44,conf_gap_change+var_conf_pro+H_final,3,20,0.27277,0.0316,0.43766,0.0507,4.01021,0.9698,30
45,conf_gap_change+var_conf_pro+delta_H,3,5,0.36808,0.05775,0.14765,0.02316,4.78713,1.4045,30
45,conf_gap_change+var_conf_pro+delta_H,3,10,0.32136,0.04331,0.25782,0.03475,4.24002,1.08417,30
45,conf_gap_change+var_conf_pro+delta_H,3,15,0.29045,0.03751,0.34953,0.04514,3.98493,0.9976,30
45,conf_gap_change+var_conf_pro+delta_H,3,20,0.2696,0.02912,0.43258,0.04672,3.8907,0.8686,30
46,conf_gap_change+var_conf_pro+semantic_coherence,3,5,0.38498,0.07137,0.15443,0.02863,5.27061,1.87686,30
46,conf_gap_change+var_conf_pro+semantic_coherence,3,10,0.32958,0.04817,0.26441,0.03864,4.46612,1.21023,30
46,conf_gap_change+var_conf_pro+semantic_coherence,3,15,0.29765,0.04242,0.35819,0.05104,4.21654,1.17341,30
46,conf_gap_change+var_conf_pro+semantic_coherence,3,20,0.27606,0.03367,0.44294,0.05402,4.13421,1.05639,30
47,conf_gap_change+var_conf_pro+prediction_volatility,3,5,0.37136,0.06117,0.14896,0.02454,4.86778,1.36588,30
47,conf_gap_change+var_conf_pro+prediction_volatility,3,10,0.3216,0.05193,0.258,0.04166,4.28863,1.27749,30
47,conf_gap_change+var_conf_pro+prediction_volatility,3,15,0.29264,0.04073,0.35217,0.04901,4.063,1.08162,30
47,conf_gap_change+var_conf_pro+prediction_volatility,3,20,0.27218,0.03329,0.43672,0.05342,4.00417,1.02523,30
48,conf_gap_change+H_final+delta_H,3,5,0.36573,0.06755,0.1467,0.02709,4.77295,1.49971,30
48,conf_gap_change+H_final+delta_H,3,10,0.32441,0.04815,0.26026,0.03863,4.33609,1.17932,30
48,conf_gap_change+H_final+delta_H,3,15,0.29077,0.03556,0.34991,0.04279,3.98027,0.91784,30
48,conf_gap_change+H_final+delta_H,3,20,0.2716,0.02823,0.43578,0.04529,3.9486,0.85342,30
49,conf_gap_change+H_final+semantic_coherence,3,5,0.39577,0.07147,0.15876,0.02867,5.52427,1.76321,30
49,conf_gap_change+H_final+semantic_coherence,3,10,0.33263,0.05422,0.26685,0.0435,4.58206,1.40743,30
49,conf_gap_change+H_final+semantic_coherence,3,15,0.29186,0.04159,0.35122,0.05005,4.05022,1.14045,30
49,conf_gap_change+H_final+semantic_coherence,3,20,0.27066,0.0321,0.43427,0.0515,3.94797,1.00132,30
50,conf_gap_change+H_final+prediction_volatility,3,5,0.36667,0.07448,0.14708,0.02988,4.84008,1.70281,30
50,conf_gap_change+H_final+prediction_volatility,3,10,0.31714,0.05513,0.25443,0.04422,4.19689,1.31694,30
50,conf_gap_change+H_final+prediction_volatility,3,15,0.28858,0.04253,0.34727,0.05118,3.96226,1.10365,30
50,conf_gap_change+H_final+prediction_volatility,3,20,0.27124,0.03383,0.43522,0.05428,3.98108,1.06846,30
51,conf_gap_change+delta_H+semantic_coherence,3,5,0.38779,0.07302,0.15556,0.02929,5.34958,1.90012,30
51,conf_gap_change+delta_H+semantic_coherence,3,10,0.33052,0.04973,0.26516,0.03989,4.49981,1.27111,30
51,conf_gap_change+delta_H+semantic_coherence,3,15,0.30094,0.04112,0.36215,0.04948,4.30364,1.15968,30
51,conf_gap_change+delta_H+semantic_coherence,3,20,0.2743,0.03402,0.44011,0.05458,4.07616,1.033,30
52,conf_gap_change+delta_H+prediction_volatility,3,5,0.37183,0.06826,0.14915,0.02738,4.91886,1.55498,30
52,conf_gap_change+delta_H+prediction_volatility,3,10,0.32347,0.05536,0.25951,0.04441,4.35078,1.32508,30
52,conf_gap_change+delta_H+prediction_volatility,3,15,0.29045,0.03863,0.34953,0.04649,3.99004,1.01165,30
52,conf_gap_change+delta_H+prediction_volatility,3,20,0.27195,0.03243,0.43635,0.05203,3.99112,1.00436,30
53,conf_gap_change+semantic_coherence+prediction_volatility,3,5,0.38685,0.08169,0.15518,0.03277,5.39293,2.14921,30
53,conf_gap_change+semantic_coherence+prediction_volatility,3,10,0.32653,0.05764,0.26196,0.04624,4.4502,1.48484,30
53,conf_gap_change+semantic_coherence+prediction_volatility,3,15,0.2964,0.0415,0.35669,0.04994,4.17698,1.15741,30
53,conf_gap_change+semantic_coherence+prediction_volatility,3,20,0.27559,0.03268,0.44218,0.05243,4.11003,1.01156,30
54,var_conf_pro+H_final+delta_H,3,5,0.36948,0.06746,0.14821,0.02706,4.87413,1.65743,30
54,var_conf_pro+H_final+delta_H,3,10,0.31878,0.04819,0.25574,0.03866,4.20122,1.18365,30
54,var_conf_pro+H_final+delta_H,3,15,0.29452,0.03903,0.35443,0.04696,4.1056,1.04958,30
54,var_conf_pro+H_final+delta_H,3,20,0.27477,0.02904,0.44087,0.0466,4.05822,0.90451,30
55,var_conf_pro+H_final+semantic_coherence,3,5,0.40094,0.07835,0.16083,0.03143,5.7307,2.15998,30
55,var_conf_pro+H_final+semantic_coherence,3,10,0.32911,0.04708,0.26403,0.03777,4.45324,1.23742,30
55,var_conf_pro+H_final+semantic_coherence,3,15,0.29343,0.03605,0.35311,0.04338,4.0604,0.99657,30
55,var_conf_pro+H_final+semantic_coherence,3,20,0.27289,0.03098,0.43785,0.04971,4.01208,0.97614,30
56,var_conf_pro+H_final+prediction_volatility,3,5,0.37512,0.07485,0.15047,0.03002,5.0469,1.82172,30
56,var_conf_pro+H_final+prediction_volatility,3,10,0.32606,0.05146,0.26158,0.04128,4.39433,1.25996,30
56,var_conf_pro+H_final+prediction_volatility,3,15,0.29171,0.03947,0.35104,0.0475,4.02786,1.02221,30
56,var_conf_pro+H_final+prediction_volatility,3,20,0.26913,0.03058,0.43183,0.04907,3.88514,0.90457,30
57,var_conf_pro+delta_H+semantic_coherence,3,5,0.39718,0.07032,0.15932,0.02821,5.56411,1.832,30
57,var_conf_pro+delta_H+semantic_coherence,3,10,0.33709,0.04986,0.27043,0.04,4.668,1.27617,30
57,var_conf_pro+delta_H+semantic_coherence,3,15,0.29577,0.03782,0.35593,0.04551,4.13568,1.04873,30
57,var_conf_pro+delta_H+semantic_coherence,3,20,0.27394,0.03028,0.43955,0.04859,4.03868,0.92934,30
58,var_conf_pro+delta_H+prediction_volatility,3,5,0.37371,0.06393,0.14991,0.02564,4.94633,1.54076,30
58,var_conf_pro+delta_H+prediction_volatility,3,10,0.31901,0.05433,0.25593,0.04359,4.2381,1.30539,30
