subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,DOR_mean,DOR_std,n_obs
37,conf_gap_change+delta_H+semantic_coherence,3,15,0.29268,0.03833,0.35221,0.04612,0.3197,0.04187,4.05338,1.02768,120
37,conf_gap_change+delta_H+semantic_coherence,3,20,0.27133,0.03207,0.43536,0.05145,0.33431,0.03951,3.96931,0.97149,120
38,var_conf_pro+H_final+delta_H,3,5,0.38005,0.07065,0.15245,0.02834,0.21761,0.04045,5.14554,1.76295,120
38,var_conf_pro+H_final+delta_H,3,10,0.32183,0.0471,0.25819,0.03779,0.28652,0.04193,4.2682,1.12233,120
38,var_conf_pro+H_final+delta_H,3,15,0.29116,0.03808,0.35038,0.04583,0.31803,0.0416,4.00728,0.98488,120
38,var_conf_pro+H_final+delta_H,3,20,0.2723,0.02834,0.43691,0.04547,0.3355,0.03491,3.97472,0.86317,120
39,var_conf_pro+H_final+semantic_coherence,3,5,0.38932,0.07232,0.15617,0.02901,0.22292,0.04141,5.37937,1.81153,120
39,var_conf_pro+H_final+semantic_coherence,3,10,0.32694,0.04438,0.26229,0.0356,0.29107,0.03951,4.38202,1.09546,120
39,var_conf_pro+H_final+semantic_coherence,3,15,0.29484,0.03589,0.3548,0.04319,0.32205,0.0392,4.09762,0.95634,120
39,var_conf_pro+H_final+semantic_coherence,3,20,0.27292,0.02919,0.4379,0.04684,0.33626,0.03597,4.00245,0.91512,120
40,var_conf_pro+delta_H+semantic_coherence,3,5,0.39038,0.06747,0.15659,0.02706,0.22352,0.03863,5.37572,1.71,120
40,var_conf_pro+delta_H+semantic_coherence,3,10,0.32934,0.04624,0.26422,0.03709,0.29321,0.04116,4.45016,1.13101,120
40,var_conf_pro+delta_H+semantic_coherence,3,15,0.29468,0.03562,0.35461,0.04286,0.32188,0.03891,4.0928,0.96118,120
40,var_conf_pro+delta_H+semantic_coherence,3,20,0.27133,0.02967,0.43536,0.0476,0.33431,0.03655,3.95464,0.92333,120
41,H_final+delta_H+semantic_coherence,3,5,0.38685,0.06829,0.15518,0.02739,0.22151,0.0391,5.29503,1.72957,120
41,H_final+delta_H+semantic_coherence,3,10,0.32952,0.04616,0.26436,0.03703,0.29336,0.04109,4.45631,1.15282,120
41,H_final+delta_H+semantic_coherence,3,15,0.29503,0.03657,0.35504,0.04401,0.32226,0.03994,4.10792,0.98632,120
41,H_final+delta_H+semantic_coherence,3,20,0.27383,0.02968,0.43936,0.04762,0.33738,0.03657,4.03456,0.92401,120
42,cross_domain_attack+conf_gap_change+var_conf_pro+H_final,4,5,0.3716,0.07422,0.14906,0.02977,0.21277,0.0425,4.95901,1.72928,120
42,cross_domain_attack+conf_gap_change+var_conf_pro+H_final,4,10,0.32183,0.04746,0.25819,0.03808,0.28652,0.04225,4.27059,1.13545,120
42,cross_domain_attack+conf_gap_change+var_conf_pro+H_final,4,15,0.29135,0.03685,0.35061,0.04435,0.31825,0.04026,4.00631,0.96138,120
42,cross_domain_attack+conf_gap_change+var_conf_pro+H_final,4,20,0.27066,0.03034,0.43427,0.04869,0.33348,0.03739,3.93541,0.91784,120
43,cross_domain_attack+conf_gap_change+var_conf_pro+delta_H,4,5,0.36937,0.0767,0.14816,0.03077,0.21149,0.04392,4.92865,1.8243,120
43,cross_domain_attack+conf_gap_change+var_conf_pro+delta_H,4,10,0.31978,0.05008,0.25654,0.04017,0.28469,0.04458,4.23721,1.22009,120
43,cross_domain_attack+conf_gap_change+var_conf_pro+delta_H,4,15,0.28991,0.0404,0.34887,0.04861,0.31667,0.04413,3.98731,1.04363,120
43,cross_domain_attack+conf_gap_change+var_conf_pro+delta_H,4,20,0.26652,0.03191,0.42764,0.0512,0.32838,0.03932,3.81522,0.93497,120
44,cross_domain_attack+conf_gap_change+var_conf_pro+semantic_coherence,4,5,0.37817,0.07367,0.15169,0.02955,0.21653,0.04218,5.10813,1.72302,120
44,cross_domain_attack+conf_gap_change+var_conf_pro+semantic_coherence,4,10,0.32676,0.05138,0.26215,0.04122,0.29091,0.04574,4.41367,1.24858,120
44,cross_domain_attack+conf_gap_change+var_conf_pro+semantic_coherence,4,15,0.29601,0.03891,0.35621,0.04683,0.32333,0.04251,4.14847,1.04436,120
44,cross_domain_attack+conf_gap_change+var_conf_pro+semantic_coherence,4,20,0.27242,0.03057,0.4371,0.04905,0.33565,0.03766,3.99555,0.95288,120
45,cross_domain_attack+conf_gap_change+H_final+delta_H,4,5,0.37171,0.07213,0.14911,0.02893,0.21284,0.0413,4.9566,1.74821,120
45,cross_domain_attack+conf_gap_change+H_final+delta_H,4,10,0.31984,0.04782,0.25659,0.03836,0.28474,0.04257,4.22476,1.14449,120
45,cross_domain_attack+conf_gap_change+H_final+delta_H,4,15,0.29002,0.03768,0.34901,0.04535,0.31679,0.04116,3.97615,0.99195,120
