T_pct,seed,feature,mean_abs_shap
5,8,PK,0.747194766998291
5,8,SK,0.3602011501789093
5,8,TCT,0.8404097557067871
5,8,TS,0.5684329271316528
5,8,NC,0.3437972962856293
5,8,COL,0.0
5,8,INV,0.24169784784317017
5,8,TKH,0.23044224083423615
5,8,CKH,0.5235716104507446
5,8,PKH,0.30983826518058777
5,8,TTS,0.30060696601867676
5,8,CTS,0.3717139959335327
5,8,PTS,0.3341495394706726
5,8,MF_F02D41,0.15618054568767548
5,8,MF_F02B33,0.02359543927013874
5,8,MF_F02D23,0.021537991240620613
5,8,MF_F02B37,0.12149951606988907
5,8,MF_F02M25,0.03664444014430046
5,8,MF_F01N3,0.0
5,8,MF_F02M37,0.017138779163360596
5,8,MF_B60K6,0.0
5,8,MF_F02N11,0.008331106044352055
5,8,MF_F02M21,0.022176997736096382
5,8,MF_other,0.13462944328784943
5,8,var_conf_pro,0.2685629427433014
5,8,H_final,0.4111824929714203
