AUROC,AUPRC,Precision,Recall,F1,Accuracy,DOR,TP,FP,FN,TN,field,T_pct,Y_rate_pct,seed,config,model,n_train,n_test,Y_pos_train,Y_pos_test
0.7582429940173632,0.24412209905332466,0.3793103448275862,0.2558139534883721,0.3055555555555556,0.9107142857142857,9.553846153846154,11,18,32,499,01,5,7.65,7,BIBLIO,RF,2236,560,171,43
0.7618190814628222,0.2814315474507728,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,7,BIBLIO,GBT,2236,560,171,43
0.7341999910035536,0.2523212671182817,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,7,BIBLIO,XGB,2236,560,171,43
0.7724348882191534,0.2310942201939914,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,7,BIBLIO,LogReg,2236,560,171,43
0.7130133597229094,0.20983966591306305,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,7,BIBLIO,SVM,2236,560,171,43
0.7179614052449282,0.1529108173356785,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,7,BIBLIO,FFN,2236,560,171,43
0.7402051189780037,0.24831339943314665,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,7,+6focal,RF,2236,560,171,43
0.7440061175835545,0.2629933790103412,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,7,+6focal,GBT,2236,560,171,43
0.772749763843282,0.27636927903071457,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,7,+6focal,XGB,2236,560,171,43
0.739867752237866,0.2165830865692777,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,7,+6focal,LogReg,2236,560,171,43
