subset_id,subset_label,subset_size,seed,model,AUROC,AUPRC
23,cross_domain_attack+conf_gap_change+H_final,3,4,RF,0.7484942432975048,0.3522844004500264
23,cross_domain_attack+conf_gap_change+H_final,3,4,LogReg,0.7251396495445173,0.2600657566544955
23,cross_domain_attack+conf_gap_change+H_final,3,4,GBT,0.7297832529807836,0.28894889103161125
23,cross_domain_attack+conf_gap_change+H_final,3,4,SVM,0.6670126606481924,0.23700968952603657
23,cross_domain_attack+conf_gap_change+H_final,3,4,FFN,0.6984298246812075,0.26626075466450405
23,cross_domain_attack+conf_gap_change+H_final,3,4,XGB,0.7266738596994404,0.3006379875554296
23,cross_domain_attack+conf_gap_change+H_final,3,5,RF,0.7698024647518632,0.3494936231911727
23,cross_domain_attack+conf_gap_change+H_final,3,5,LogReg,0.758286783485161,0.29449303996207415
23,cross_domain_attack+conf_gap_change+H_final,3,5,GBT,0.761623804385929,0.32022899949694805
23,cross_domain_attack+conf_gap_change+H_final,3,5,SVM,0.6820497411873967,0.24020223830326332
23,cross_domain_attack+conf_gap_change+H_final,3,5,FFN,0.6837387381235289,0.22170360880698955
23,cross_domain_attack+conf_gap_change+H_final,3,5,XGB,0.7310352048876203,0.2772337085809051
23,cross_domain_attack+conf_gap_change+H_final,3,6,RF,0.7169587129023887,0.30124611361868636
23,cross_domain_attack+conf_gap_change+H_final,3,6,LogReg,0.7146824367081405,0.2658137365876474
23,cross_domain_attack+conf_gap_change+H_final,3,6,GBT,0.7032191097939059,0.27448936592598683
23,cross_domain_attack+conf_gap_change+H_final,3,6,SVM,0.6259850585230611,0.19151678592193874
23,cross_domain_attack+conf_gap_change+H_final,3,6,FFN,0.6918878068989378,0.2203946859505242
23,cross_domain_attack+conf_gap_change+H_final,3,6,XGB,0.6749432069089536,0.24706711191667907
23,cross_domain_attack+conf_gap_change+H_final,3,7,RF,0.7677583687294284,0.35793317794161084
23,cross_domain_attack+conf_gap_change+H_final,3,7,LogReg,0.7462908079414725,0.30708825652396676
23,cross_domain_attack+conf_gap_change+H_final,3,7,GBT,0.738100766194567,0.34863674721102994
23,cross_domain_attack+conf_gap_change+H_final,3,7,SVM,0.6370978389033811,0.2026022957523641
23,cross_domain_attack+conf_gap_change+H_final,3,7,FFN,0.6860059092130002,0.27373722778378834
23,cross_domain_attack+conf_gap_change+H_final,3,7,XGB,0.7085501486408355,0.31279589532470986
